date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2022-05-19,AR_B_756,6,124017,15,115874,21,239891,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_760,3,130242,17,116081,20,246323,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_763,1,65116,5,61009,6,126125,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_770,0,27988,2,24872,2,52860,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_778,5,32098,4,28570,9,60668,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_784,0,3935,2,3681,2,7616,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_791,3,54138,0,50934,3,105072,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_798,1,4079,1,3758,2,7837,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_805,13,164957,27,147828,40,312785,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_812,0,1100,0,1014,0,2114,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_819,0,5458,0,4928,0,10386,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_826,1,21878,5,20302,6,42180,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_833,0,24750,1,23299,1,48049,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_840,2,141439,16,130697,18,272136,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_847,0,3327,0,3307,0,6634,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_854,1,13882,3,12968,4,26850,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_861,8,105259,24,100470,32,205729,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_868,0,12088,2,10428,2,22516,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_875,0,11882,2,10615,2,22497,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_882,4,60242,13,55852,17,116094,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C,87,1295676,167,1245250,254,2540926,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_001,52,766376,94,731335,146,1497711,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_002,3,23298,6,22705,9,46003,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_003,1,34129,4,33010,5,67139,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_004,3,39179,7,37484,10,76663,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_005,1,37035,5,36497,6,73532,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_006,1,37152,6,36577,7,73729,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_007,2,47548,6,45804,8,93352,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_008,4,33200,6,31061,10,64261,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_009,0,27598,2,26500,2,54098,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_010,1,30843,2,30262,3,61105,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_011,2,30408,3,29744,5,60152,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_012,3,37141,9,36345,12,73486,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_013,8,49024,3,47558,11,96582,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_014,3,35294,1,34236,4,69530,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_C_015,1,35231,7,34547,8,69778,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D,17,202883,594,197604,611,400487,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_007,1,8389,6,8302,7,16691,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_014,0,2020,2,2181,2,4201,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_021,0,5768,9,6220,9,11988,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_028,2,9316,11,9513,13,18829,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_035,2,52323,160,50671,162,102994,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_042,0,5346,0,5380,0,10726,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_049,1,13446,24,12787,25,26233,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_056,11,104322,382,100635,393,204957,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_D_063,0,1890,0,1864,0,3754,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E,14,508750,33,452042,47,960792,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_008,2,27019,4,24751,6,51770,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_015,2,73864,5,63064,7,136928,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_021,1,18769,2,17237,3,36006,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_028,0,27443,1,22629,1,50072,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_035,0,12013,1,10508,1,22521,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_042,0,7326,0,6278,0,13604,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_049,1,24269,0,22655,1,46924,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_056,0,48383,1,44195,1,92578,,,,,,,,,,,,,,,,,,,,,,,,
